nazev;cena;jednotka;kategorie
B75 hadice pož. ZÁSAH (5m)/spojk.AL;517.521;ks;VODA
B75 hadice pož. ZÁSAH / spojka AL;2070.0;ks;VODA
B75 nástavec podz. hydrantu s kul.u;4777.521;ks;VODA
B75 spojka hadicová AL;227.851;pár;VODA
B75 spojka pevná AL;134.711;ks;VODA
B75 víčko tlakové AL;131.24;ks;VODA
C52 - Ochrana hadic PREVENT;252.81;ks;VODA
C52 HADLOCK;246.529;ks;VODA
C52 hadice ZYFIRE TECHNO /spojka AL;1503.967;ks;VODA
C52 hadice chem. TECHMATEX spoj.AL;2000.0;ks;VODA
C52 hadice pož. HYDRANT / spojka AL;1237.521;ks;VODA
C52 hadice pož. ZÁSAH /spojka AL;1372.479;ks;VODA
C52 hadice pož.hyd.ZYFIRE/spojka AL;990.0;ks;VODA
C52 hydrantový systém ČSN EN 671-2;5312.479;ks;VODA
C52 nástěnný hydrant/kohout AL;569.669;ks;VODA
C52 nástěnný hydrant/kohout MS;875.041;ks;VODA
C52 proudnice PVC/AL kombi(třícest);660.0;ks;VODA
C52 proudnice TAJFUN-TURBO;464.298;ks;VODA
C52 proudnice plast.kombi.(třícest);575.785;ks;VODA
C52 proudnice plastová (dvoucestná);464.38;ks;VODA
C52 skříň násť.hydrantu 50x57x18cm;1091.983;ks;VODA
C52 skříň násť.hydrantu 50x57x21cm;655.372;ks;VODA
C52 spojka hadicová AL;158.017;pár;VODA
C52 spojka pevná AL;86.942;ks;VODA
C52 víčko tlakové zaslepovací AL;73.719;ks;VODA
C52 zámek skříňě hydrant. 50x57;83.967;ks;VODA
D19/20m ReAl hydrantový systém;5600.0;ks;VODA
D19/20m hydrantový systém P a H;6696.033;ks;VODA
D19/30m hydrantový systém P a H;7451.983;ks;VODA
D25 - Ochrana hadic PREVENT;232.893;ks;VODA
D25 hadice HYDRANT / spoj AL;787.521;ks;VODA
D25 hadice HYDRANT / spoj PVC;765.041;ks;VODA
D25 hadice POŽÁR / AL - ZIFIRE;736.529;ks;VODA
D25 hadice ZÁSAH / spojka AL;810.0;ks;VODA
D25 hydrant/kohout mosaz/bez spoj.;201.901;ks;VODA
D25 hydrant/kohout mosaz/spoj AL;274.38;ks;VODA
D25 proudnice kombi./spoj.AL/pr.10;209.504;ks;VODA
D25 proudnice kombi./spoj.PVC/pr.6;187.19;ks;VODA
D25 proudnice přímá/spojka PVC/pr 5;78.43;ks;VODA
D25 skříň hydrantová 46x46x11cm;581.901;ks;VODA
D25 spojka hadicová AL;109.008;pár;VODA
D25 spojka hadicová PVC;81.24;pár;VODA
D25 spojka pevná AL;67.521;ks;VODA
D25 spojka pevná PVC;47.769;ks;VODA
D25 víčko tlakové PVC;55.041;ks;VODA
D25/20m ReAl hydrantový systém;5600.0;ks;VODA
D25/20m hydr.systém P a H /sklo;7343.967;ks;VODA
D25/20m hydrantový systém P a H;7020.0;ks;VODA
D25/30m ReAl hydrantový systém;5600.0;ks;VODA
D25/30m hydr. systém P a H sklo;8100.0;ks;VODA
D25/30m hydrantový systém P a H;7776.033;ks;VODA
D33/30m pěnotv.hydrantový systém PH;32450.0;ks;VODA
Hydrantový box - zámek/okénko;4200.0;ks;VODA
Hydrantový box - zámek/okénko HH;4499.6;ks;VODA
Klíč k nadzemnímu hydrantu;790.826;ks;VODA
Klíč k podzemnímu hydrantu;453.719;ks;VODA
Klíč k podzemnímu hydrantu HH;540.0;ks;VODA
Klíč nadzemnímu/podzemnímu hadrantu;0.0;ks;VODA
Klíč spojky a šroubení 110/75(52);144.545;ks;VODA
Klíč spojky a šroubení 125/75;152.479;ks;VODA
Klíč spojky a šroubení 75/52;143.719;ks;VODA
Klíč spojky a šroubení 75/52 B/C HH;204.0;ks;VODA
"Přechod 32/25 (5/4"" /1"") PVC";47.769;ks;VODA
Přechod 52/25 (C/D) AL;216.033;ks;VODA
Přechod 52/25 (C/D) PVC;55.124;ks;VODA
Přechod 75/52 (B/C) AL;189.917;ks;VODA
Kontroly (revize) HP SKP743015;0.0;výk;FA
Kontroly (revize) PV SKP743015;0.0;výk;FA
Opravy HP SKP292492;0.0;výk;FA
Prodej zboží/materiálu dle DL;0.0;ks;FA
Protipožární polštář CP 651N-M;585.041;ks;HILTI
Protipožární polštář CP 651N-S;551.983;ks;HILTI
Autom.has.systém Firestop PG1F 4m;3303.388;ks;HP
Cvičný přístroj VS5;1300.0;ks;HP
Držák hasicího spreje PYROCOM;27.769;ks;HP
Has.přístroj CA6LE;0.0;ks;HP
Has.přístroj K5 BETA Z;0.0;ks;HP
Has.přístroj P2 BETA L (13A/70B/C;310.0;ks;HP
Has.přístroj P6BETA-Z(34A/233B/C);830.992;ks;HP
Has.přístroj P6Če (21A/113B/C);618.017;ks;HP
Has.přístroj RAIMA P6 (34A/183B/C);899.008;ks;HP
Hasicí přístroj P50 HASTEX;11789.917;ks;HP
Hasicí přístroj P6Če2 (34A/183B/C);830.992;ks;HP
Hasicí přístroj P6ČeA (34A/183B/C);830.992;ks;HP
Hasicí přístroj PDE6 (34A/183B/C);830.992;ks;HP
Hasicí přístroj PG1LE Tepostop;563.884;ks;HP
Hasicí přístroj PG2LE Tepostop;656.116;ks;HP
Hasicí přístroj PG4LE Tepostop;922.727;ks;HP
Hasicí přístroj PG6LE Tepostop;973.967;ks;HP
Hasicí přístroj PG6LE/SUPER Teposto;899.008;ks;HP
Hasicí přístroj PG6LEc Tepostop;650.0;ks;HP
Hasicí přístroj PP-6Le Tepostop;1402.479;ks;HP
Hasicí přístroj STAR CA2 Tepostop;4613.471;ks;HP
Hasicí přístroj V9LE Tepostop;1015.124;ks;HP
Hasicí přístroj V9LEc Tepostop;765.041;ks;HP
Potravinářská lahev 6kg CO2;1332.81;ks;HP
Povlak /PVC obal na HP P50/PP50;700.0;ks;HP
Povlak /PVC obal na HP PG4-6/V6/S2;196.033;ks;HP
Povlak /PVC obal na HP PG9-10/V9/S5;196.033;ks;HP
