nazev;cena;jednotka;kategorie;kategorie_orig
"Ventil vřetenový S6 3/4""";235.289;ks;ND_HP;ND HP
Ventilek KT 06.08/EN3 LUX;14.38;ks;ND_HP;ND HP
Vřeteno / kuželka ventilu S30;221.24;ks;ND_HP;ND HP
Zámek skříně na HP/krab. na klíče;104.959;ks;ND_HP;ND HP
Záslepka EBUR;25.62;ks;ND_HP;ND HP
Závěs P6Tlm, P6,V8Pa;12.81;ks;ND_HP;ND HP
Čepička ventilku KT 06.08/EN3;5.289;ks;ND_HP;ND HP
Štítek samolepicí terčík prům.25mm;0.826;ks;ND_HP;ND HP
"Štítek samolepící ""KONTROLA HP""";4.132;ks;ND_HP;ND HP
štítek 2FM100 PYROKONTROL;12.81;ks;ND_HP;ND HP
štítek 2PKT ROYAL;12.066;ks;ND_HP;ND HP
štítek 6FM100 PYROKONTROL;12.81;ks;ND_HP;ND HP
štítek 6PKT PULVEX;12.645;ks;ND_HP;ND HP
štítek CO2-2Kt H a H;12.81;ks;ND_HP;ND HP
štítek CO2-6 KOVOSLUžBA;12.81;ks;ND_HP;ND HP
štítek CO2-6Kt H a H;12.81;ks;ND_HP;ND HP
štítek P2G GLORIA;31.57;ks;ND_HP;ND HP
štítek P6P/ETS - CE1015;15.62;ks;ND_HP;ND HP
štítek P6Pa;12.81;ks;ND_HP;ND HP
štítek P6Tlm;12.81;ks;ND_HP;ND HP
štítek PD6GA GLORIA;19.256;ks;ND_HP;ND HP
štítek PG-6Hi;9.091;ks;ND_HP;ND HP
štítek PG2L NEURUPPIN;9.091;ks;ND_HP;ND HP
štítek PG4L;7.686;ks;ND_HP;ND HP
štítek PG6 Hi1 NEURUPPIN;10.909;ks;ND_HP;ND HP
štítek PG6 Hi2 NEURUPPIN;10.909;ks;ND_HP;ND HP
štítek PG6L;12.81;ks;ND_HP;ND HP
štítek REAL 1 PST;10.744;ks;ND_HP;ND HP
štítek S 1x30;25.62;ks;ND_HP;ND HP
štítek S 2x30;25.62;ks;ND_HP;ND HP
štítek S 4x30;25.62;ks;ND_HP;ND HP
štítek S1,5 KODRETA;7.851;ks;ND_HP;ND HP
štítek S6 KODRETA;14.38;ks;ND_HP;ND HP
štítek T2H ESTO;12.81;ks;ND_HP;ND HP
štítek T6H ESTO;12.81;ks;ND_HP;ND HP
štítek V8L;12.81;ks;ND_HP;ND HP
štítek V8Pa;12.81;ks;ND_HP;ND HP
štítek V9T HASTEX;12.81;ks;ND_HP;ND HP
štítek VP9T HASTEX;12.81;ks;ND_HP;ND HP
štítek W10 Hi1 NEURUPPIN;10.909;ks;ND_HP;ND HP
štítek W10 Hi2 NEURUPPIN;10.909;ks;ND_HP;ND HP
